"","name","Outcome","N","10th Percentile","90th Percentile","Outcome, 90th Percentile v. 10th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 10th Percentile","Predicted Outcome at 90th Percentile","Coefficient (95% CI)","P-value"
"3","Telomere length at Year 1","LAZ Year 1","638","1.16","1.7","-1.54","-1.31","0.23 (0.05, 0.42)","0.01*"
"4","","WAZ Year 1","638","1.16","1.7","-1.21","-1.2","0.01 (-0.2, 0.23)","0.91"
"5","","WLZ Year 1","636","1.16","1.7","-0.68","-0.83","-0.16 (-0.36, 0.05)","0.14"
"6","","HCZ Year 1","638","1.16","1.7","-1.82","-1.81","0.01 (-0.18, 0.2)","0.94"
"7","","LAZ Year 2","542","1.17","1.7","-1.51","-1.45","0.06 (-0.04, 0.16)","0.22"
"8","","WAZ Year 2","565","1.16","1.7","-1.77","-1.7","0.07 (-0.03, 0.17)","0.18"
"9","","WLZ Year 2","568","1.17","1.7","-0.99","-1.01","-0.03 (-0.14, 0.09)","0.68"
"10","","HCZ Year 2","565","1.17","1.7","-1.85","-1.81","0.04 (-0.18, 0.25)","0.73"
"11","","Change in LAZ between Year 1 and Year 2","568","1.17","1.7","-0.23","-0.28","-0.05 (-0.14, 0.04)","0.29"
"12","","Change in WAZ between Year 1 and Year 2","572","1.17","1.7","-0.37","-0.38","0 (-0.11, 0.1)","0.94"
"13","","Change in WLZ between Year 1 and Year 2","565","1.17","1.7","-0.24","-0.2","0.04 (-0.09, 0.17)","0.56"
"14","","Change in HCZ between Year 1 and Year 2","545","1.17","1.7","-0.16","-0.11","0.06 (-0.05, 0.17)","0.31"
"15","","Length velocity between Year 1 and Year 2","541","1.17","1.7","0.8","0.8","0 (-0.02, 0.03)","0.79"
"16","","Weight velocity between Year 1 and Year 2","541","1.17","1.7","0.15","0.15","0 (-0.01, 0.01)","0.74"
"17","","Head circumference velocity between Year 1 and Year 2","545","1.17","1.7","0.15","0.16","0.01 (0, 0.02)","0.13"
